"","Battery","To100sec","TopSpeed","Range","WhperKm","FastChargeSpeed","Drive","NumberofSeats","Price"
"Genesis GV60 Sport",74,5.5,200,380,195,990,2,5,58365
"Genesis GV60 Sport Plus",74,4,235,365,203,950,2,5,67505
"Genesis GV70 Electrified Sport",74,4.2,235,350,211,860,2,5,64405
"Honda e Advance",28.5,8.3,145,170,168,180,1,4,36920
"Hyundai IONIQ 5 Long Range 2WD",74,7.3,185,390,190,1020,1,5,46650
"Hyundai IONIQ 5 Long Range AWD",74,5.1,185,385,192,1010,2,5,50150
"Hyundai IONIQ 5 Standard Range 2WD",54,8.5,185,295,183,720,1,5,43150
"Hyundai IONIQ 6 Long Range 2WD",74,7.4,185,475,156,1240,1,5,46745
"Hyundai IONIQ 6 Long Range AWD",74,5.1,185,440,168,1150,2,5,50245
"Hyundai Kona Electric 39",39.2,9.9,155,250,157,220,0,5,32450
"Hyundai Kona Electric 48",48.4,10,155,300,161,290,0,5,35000
"Hyundai Kona Electric 64",64,7.9,167,395,162,370,0,5,37750
"Hyundai Kona Electric 65",65.4,8,167,400,164,410,0,5,40000
"Jaguar I-Pace EV400",84.7,4.8,200,380,223,360,2,5,69995
"Jeep Avenger Electric",50.8,9,150,300,169,480,0,5,34800
"Jeep Avenger Electric 1st Edition",50.8,9,150,295,172,470,0,5,36500
"Kia EV6 GT",74,3.5,260,370,200,970,2,5,62645
"Kia EV6 Long Range 2WD",74,7.3,185,410,180,1070,1,5,45245
"Kia EV6 Long Range AWD",74,5.2,185,400,185,1050,2,5,51745
"Kia EV9 99.8 AWD",99.8,5.3,180,450,222,850,2,7,65000
"Kia EV9 99.8 RWD",99.8,9.4,180,460,217,870,1,7,60000
"Kia Niro EV",64.8,7.8,167,380,171,380,0,5,36795
"Kia e-Soul 39.2",39.2,9.9,157,230,170,200,0,5,32845
"Kia e-Soul 64",64,7.9,167,370,173,350,0,5,39045
"Lexus RZ 450e",64,5.6,160,310,206,460,2,5,66500
"Lotus Eletre",107,4.5,250,520,206,1090,2,5,89500
"Lotus Eletre R",107,2.9,260,450,238,940,2,5,120000
"MG MG4 Electric 51",50.8,7.7,160,300,169,340,1,5,25995
"MG MG4 Electric 64",61.7,7.9,160,365,169,450,1,5,28495
"MG MG5 Electric Long Range",57.4,7.7,185,335,171,330,0,5,30995
"MG ZS EV Long Range",68.3,8.4,175,365,187,410,0,5,31995
"MG ZS EV Standard Range",49,8.6,175,270,181,260,0,5,29495
"Maserati GranTurismo Folgore",83,2.7,320,425,195,990,2,4,200000
"Maserati Grecale Folgore",95,4.1,220,405,235,440,2,5,135000
"Maxus MIFA 9",90,9.2,180,345,261,290,0,7,64306
"Mazda MX-30",30,9.7,140,170,176,210,0,5,30050
"Mercedes EQA 250+",70.5,8.6,160,375,188,520,0,5,52010
"Mercedes EQA 300 4MATIC",66.5,7.7,160,350,190,500,2,5,53010
"Mercedes EQA 350 4MATIC",66.5,6,160,350,190,500,2,5,54510
"Mercedes EQB 300 4MATIC",66.5,8,160,335,199,480,2,7,55310
"Mercedes EQB 350 4MATIC",66.5,6.2,160,335,199,480,2,7,56810
"Mercedes EQC 400 4MATIC",80,5.1,180,370,216,440,2,5,72335
"Mercedes EQE 300",89,7.6,210,515,173,650,1,5,74345
"Mercedes EQE 350",89,6.4,210,515,173,650,1,5,77345
"Mercedes EQE AMG 53 4MATIC+",90.6,3.5,240,480,189,720,2,5,114750
"Mercedes EQE SUV 350 4MATIC",90.6,6.5,210,455,199,680,2,5,90560
"Mercedes EQE SUV 500 4MATIC",90.6,5,210,455,199,680,2,5,108760
"Mercedes EQE SUV AMG 53 4MATIC+",90.6,3.5,240,425,213,630,2,5,120000
"Mercedes EQS 450+",107.8,6.2,210,640,168,960,1,5,105610
"Mercedes EQS AMG 53 4MATIC+",107.8,3.4,250,565,191,840,2,5,161860
"Mercedes EQS SUV 450 4MATIC",108.4,6,210,485,224,630,2,7,129170
"Mercedes EQS SUV 580 4MATIC",108.4,4.6,210,485,224,630,2,7,139170
"Mercedes EQV 300 Long",90,12.1,160,305,295,310,0,7,83530
"Mercedes eVito Tourer Extra-Long 90",90,12,160,305,295,310,0,7,75846
"Mercedes eVito Tourer Long 90",90,12,160,310,290,310,0,7,68352
"Mini Cooper SE",28.9,7.3,150,180,161,260,0,4,29000
"Mini Cooper SE Convertible",28.9,8.2,150,170,170,240,0,4,52500
"Nissan Ariya 63kWh",63,7.5,160,320,197,430,0,5,46145
"Nissan Ariya 87kWh",87,7.6,160,435,200,520,0,5,51895
"Nissan Ariya e-4ORCE 87kWh - 225 kW",87,5.7,200,420,207,500,2,5,54595
"Nissan Leaf",39,7.9,144,235,166,230,0,5,28995
"Nissan Leaf e+",59,6.9,157,340,174,240,0,5,34945
"ORA Funky Cat 48",45.4,8.3,160,260,175,240,0,5,31995
"Opel Astra Electric",50.8,8.5,170,310,164,500,0,5,36000
"Opel Astra Sports Tourer Electric",50.8,8.5,170,300,169,480,0,5,37000
"Opel Combo-e Life 50",46.3,11.7,135,205,226,330,0,7,34035
"Opel Combo-e Life XL 50",46.3,11.7,135,200,232,320,0,7,34635
"Opel Corsa-e",46.3,8.1,150,295,157,470,0,5,31130
"Opel Mokka-e",46.3,9.2,150,260,178,420,0,5,34910
